General : Start date,"2/12/2018 8:56 AM"
General : End date,"2/12/2018 8:58 AM"
Test : Rate 1,"6.00000",mm/min
Specimen properties : Length,"57.20000",mm
Specimen properties : Thickness,"6.60000",mm
Specimen properties : Width,"12.92000",mm
Specimen properties : Area,"85.27200",mm^2

Time,Extension,Load,Tensile strain (Extension),Strain 1
(s),(mm),(N),(%),(%)
"23.10000","2.31022","19556.76758","4.03884","0.36844"
"23.20000","2.32017","19665.61523","4.05624","0.37060"
"23.30000","2.33010","19774.96094","4.07360","0.37287"
"23.40000","2.34013","19884.28125","4.09113","0.37466"
"23.50000","2.35015","19995.95703","4.10866","0.37624"
"23.60000","2.36016","20104.69531","4.12615","0.37843"
"23.70000","2.37021","20213.09961","4.14373","0.38059"
"23.80000","2.38022","20318.66602","4.16122","0.38250"
"23.90000","2.39017","20427.32227","4.17862","0.38484"
"24.00000","2.40015","20536.15234","4.19606","0.38733"
"24.10000","2.41023","20643.99609","4.21368","0.38960"
"24.20000","2.42023","20750.91406","4.23117","0.39197"
"24.30000","2.43016","20857.85156","4.24853","0.39444"
"24.40000","2.44016","20965.44727","4.26602","0.39711"
"24.50000","2.45017","21069.97070","4.28351","0.40014"
"24.60000","2.46017","21173.05469","4.30100","0.40276"
"24.70000","2.47017","21279.19727","4.31849","0.40606"
"24.80000","2.48018","21381.69141","4.33598","0.40964"
"24.90000","2.49013","21482.31250","4.35338","0.41279"
"25.00000","2.50011","21580.95703","4.37082","0.41664"
"25.10000","2.51016","21678.69141","4.38840","0.42048"
"25.20000","2.52017","21773.77344","4.40589","0.42440"
"25.30000","2.53012","21868.88672","4.42329","0.42870"
"25.40000","2.54018","21961.51953","4.44087","0.43324"
"25.50000","2.55018","22048.86523","4.45836","0.43812"
"25.60000","2.56013","22137.02930","4.47576","0.44291"
"25.70000","2.57014","22224.22461","4.49325","0.44790"
"25.80000","2.58024","22306.77734","4.51091","0.45377"
"25.90000","2.59025","22384.08398","4.52840","0.45917"
"26.00000","2.60017","22460.08008","4.54576","0.46501"
"26.10000","2.61020","22537.36328","4.56329","0.47272"
"26.20000","2.62018","22609.24219","4.58074","0.47895"
"26.30000","2.63016","22677.27344","4.59818","0.48573"
"26.40000","2.64019","22745.52734","4.61571","0.49308"
"26.50000","2.65022","22809.55664","4.63325","0.50016"
"26.60000","2.66017","22869.88086","4.65065","0.50808"
"26.70000","2.67015","22928.31250","4.66809","0.51593"
"26.80000","2.68020","22985.03320","4.68567","0.52452"
"26.90000","2.69018","23038.11328","4.70312","0.53307"
"27.00000","2.70016","23090.50391","4.72056","0.54200"
"27.10000","2.71019","23140.99414","4.73809","0.55161"
"27.20000","2.72019","23186.90234","4.75558","0.56158"
"27.30000","2.73015","23230.16406","4.77298","0.57140"
"27.40000","2.74010","23273.70312","4.79038","0.58228"
"27.50000","2.75018","23314.95508","4.80801","0.59266"
"27.60000","2.76021","23350.57617","4.82554","0.60358"
"27.70000","2.77019","23386.03516","4.84298","0.61525"
"27.80000","2.78022","23420.50195","4.86052","0.62691"
"27.90000","2.79019","23451.80273","4.87796","0.63889"
"28.00000","2.80015","23482.67188","4.89536","0.65157"
"28.10000","2.81020","23512.90625","4.91294","0.66468"
"28.20000","2.82026","23539.50195","4.93052","0.67699"
"28.30000","2.83018","23563.86523","4.94787","0.69028"
"28.40000","2.84014","23589.90625","4.96528","0.70416"
"28.50000","2.85019","23612.95312","4.98285","0.71737"
"28.60000","2.86020","23634.74414","5.00034","0.73178"
"28.70000","2.87015","23655.31836","5.01774","0.74629"
"28.80000","2.88020","23677.23438","5.03532","0.76102"
"28.90000","2.89021","23694.88867","5.05281","0.77615"
"29.00000","2.90014","23710.06836","5.07017","0.79079"
"29.10000","2.91014","23730.85938","5.08766","0.80627"
"29.20000","2.92019","23748.95703","5.10523","0.82147"
"29.30000","2.93017","23763.19531","5.12268","0.83724"
"29.40000","2.94018","23778.11523","5.14017","0.85333"
"29.50000","2.95020","23792.80273","5.15770","0.86926"
"29.60000","2.96016","23806.05273","5.17510","0.88528"
"29.70000","2.97014","23820.07617","5.19255","0.90179"
"29.80000","2.98022","23834.29492","5.21017","0.91849"
"29.90000","2.99029","23844.97070","5.22779","0.93498"
"30.00000","3.00020","23854.73633","5.24510","0.95198"
"30.10000","3.01013","23867.89648","5.26246","0.96836"
"30.20000","3.02018","23881.45312","5.28004","0.98583"
"30.30000","3.03018","23891.30273","5.29753","1.00247"
"30.40000","3.04016","23902.58789","5.31497","1.02005"
"30.50000","3.05022","23913.88867","5.33255","1.03755"
"30.60000","3.06022","23922.52930","5.35004","1.05458"
"30.70000","3.07017","23931.70703","5.36744","1.07225"
"30.80000","3.08015","23942.29297","5.38488","1.09047"
"30.90000","3.09021","23953.09961","5.40246","1.10830"
"31.00000","3.10021","23960.53125","5.41995","1.12629"
"31.10000","3.11019","23969.38281","5.43739","1.14401"
"31.20000","3.12019","23978.06055","5.45488","1.16183"
"31.30000","3.13012","23986.07422","5.47224","1.17984"
"31.40000","3.14013","23996.16211","5.48973","1.19764"
"31.50000","3.15018","24006.22461","5.50731","1.21598"
"31.60000","3.16026","24012.72461","5.52493","1.23416"
"31.70000","3.17021","24019.77344","5.54233","1.25220"
"31.80000","3.18014","24029.03125","5.55969","1.27006"
"31.90000","3.19022","24038.71875","5.57731","1.28858"
"32.00000","3.20022","24045.47852","5.59480","1.30692"
"32.10000","3.21020","24052.22656","5.61224","1.32509"
"32.20000","3.22021","24061.96680","5.62973","1.34336"
"32.30000","3.23018","24068.35156","5.64717","1.36162"
"32.40000","3.24014","24076.12109","5.66458","1.37969"
"32.50000","3.25019","24083.86914","5.68215","1.39802"
"32.60000","3.26025","24091.57812","5.69973","1.41604"
"32.70000","3.27020","24098.33789","5.71713","1.43405"
"32.80000","3.28015","24106.04492","5.73453","1.45222"
"32.90000","3.29018","24114.25195","5.75207","1.47025"
"33.00000","3.30016","24120.00977","5.76951","1.48805"
"33.10000","3.31011","24128.28711","5.78691","1.50625"
"33.20000","3.32017","24136.73633","5.80449","1.52492"
"33.30000","3.33022","24144.65430","5.82207","1.54298"
"33.40000","3.34018","24149.42578","5.83947","1.56099"
"33.50000","3.35013","24156.81641","5.85687","1.57892"
"33.60000","3.36018","24165.57617","5.87445","1.59717"
"33.70000","3.37019","24173.14258","5.89193","1.61546"
"33.80000","3.38019","24179.70508","5.90942","1.63391"
"33.90000","3.39024","24186.38281","5.92700","1.65160"
